Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-6078.345	-6281.093	202.748	0.511225	0.2562	0.178528	0.0540459	1.369727	1.134802	4.181809	2.210072
6	-6071.529	-6274.334	202.8045	0.521818	0.261509	0.161507	0.0551658	1.369727	1.189631	4.181809	2.056814
12	-6086.482	-6291.543	205.0616	0.290248	0.547606	0.0944897	0.067656	0.803774	1.304222	3.362672	1.552209
18	-6085.454	-6290.264	204.8102	0.217472	0.63769	0.0707976	0.0740404	0.9458354	1.279033	3.462026	1.505893
24	-6087.409	-6289.312	201.9032	0.48323	0.296142	0.132121	0.0885061	1.10647	1.075669	4.855209	2.143285
30	-6089.192	-6293.541	204.3493	0.337598	0.45326	0.1766	0.0325427	0.9272971	1.202963	3.569965	1.965042
36	-6092.82	-6297.01	204.1895	0.325398	0.391952	0.238669	0.0439805	1.256425	1.228797	3.58468	1.695438
42	-6094.84	-6297.945	203.1049	0.391189	0.274101	0.254428	0.0802824	1.093778	1.068215	4.284743	1.920503
48	-6076.504	-6277.552	201.0486	0.507816	0.173439	0.288848	0.0298974	1.895973	1.128534	4.564505	3.127399
54	-6083.222	-6285.348	202.1259	0.589548	0.163389	0.23243	0.0146334	1.536841	1.08483	4.263677	2.782028
60	-6066.956	-6269.111	202.1547	0.499694	0.156614	0.336609	0.007083	1.421133	1.076753	4.568417	2.10045
66	-6083.169	-6285.569	202.4004	0.545687	0.150916	0.25157	0.051827	1.539626	1.163453	4.32324	2.10045
72	-6078.85	-6281.645	202.7946	0.564535	0.149182	0.217037	0.0692465	1.863977	1.309794	3.705915	2.495599
78	-6077.848	-6280.567	202.7195	0.586972	0.112014	0.201741	0.0992726	1.538337	1.158349	3.920304	2.678329
84	-6084.701	-6289.046	204.3445	0.601233	0.111667	0.200568	0.0865319	1.213468	1.307481	3.053799	2.678329
90	-6081.985	-6285.859	203.8738	0.6683	0.14037	0.13477	0.0565602	1.984249	1.436563	3.071863	2.18074
96	-6082.109	-6285.728	203.6192	0.587482	0.263568	0.118472	0.0304783	1.896448	1.321416	3.257307	2.357922
102	-6072.093	-6275.686	203.5935	0.432113	0.304013	0.228718	0.0351552	1.448832	1.242915	3.678937	2.010046
108	-6061.875	-6264.98	203.1049	0.651039	0.0389067	0.290508	0.0195468	1.877483	1.242915	3.56302	2.484425
114	-6072.605	-6274.786	202.1807	0.590608	0.0648058	0.286761	0.0578253	2.277637	1.172784	3.966342	2.484425
120	-6078.15	-6280.58	202.4301	0.654499	0.0458561	0.270666	0.0289789	1.360429	1.041558	4.446162	2.14339
126	-6077.384	-6279.027	201.6433	0.654499	0.0458561	0.270666	0.0289789	1.853727	1.215384	4.117358	3.37722
132	-6076.186	-6279.928	203.7422	0.531625	0.139499	0.240719	0.088157	2.042538	1.275572	3.047141	2.606049
138	-6079.31	-6284.569	205.2595	0.614531	0.161254	0.191104	0.0331114	1.468358	1.460439	2.501869	2.101913
144	-6073.234	-6278.338	205.1044	0.556524	0.225982	0.187088	0.0304065	1.468358	1.460439	2.532188	2.250119
150	-6066.318	-6271.337	205.0194	0.521324	0.280752	0.141447	0.0564768	1.468358	1.334106	2.732111	2.093694
156	-6071.448	-6276.058	204.6094	0.580987	0.191106	0.164967	0.0629402	1.468358	1.294689	3.004333	2.093694
162	-6068.599	-6272.842	204.2437	0.501571	0.294837	0.154954	0.0486378	1.460212	1.244729	3.537934	1.489279
168	-6078.734	-6280.877	202.1431	0.534056	0.19229	0.255026	0.018628	2.008713	1.269524	4.049143	2.470619
174	-6069.173	-6272.221	203.0481	0.563474	0.164304	0.251232	0.0209907	1.404095	1.227359	3.746512	2.711833
